index,english,garo,category,notes,verification_tag,flags
398,class,Klas,,,none,DUPLICATE_KEY
399,paper,Lekka,,,none,DUPLICATE_KEY
400,pen,Pen,,,none,DUPLICATE_KEY
401,pencil,Pencil,,,none,DUPLICATE_KEY
402,ink,Kali,,,none,DUPLICATE_KEY
403,lesson,Porani,,,none,DUPLICATE_KEY
404,letter (alphabet),Oikor,,,none,DUPLICATE_KEY
405,word,Katta,,,none,DUPLICATE_KEY
406,sentence,Katta·ku·chik,,,none,DUPLICATE_KEY
407,question,Sing·ani,,,none,DUPLICATE_KEY
408,answer,Aganchaka,,,none,DUPLICATE_KEY
409,test / exam,Porika,,,none,DUPLICATE_KEY
410,knowledge,Gni / Ma·siani,,,none,DUPLICATE_KEY
411,wisdom,Seng·ani,,,none,DUPLICATE_KEY
412,story,Golpo,,,none,DUPLICATE_KEY
413,map,Map,,,none,DUPLICATE_KEY
414,picture,Noksa,,,none,DUPLICATE_KEY
415,mistake,Gualani,,,none,DUPLICATE_KEY
416,medicine,Sam,,,none,DUPLICATE_KEY
417,pain,Sa·dika,,,none,DUPLICATE_KEY
418,fever,Sin··ding··a,,,none,DOUBLE_RAKA|DUPLICATE_KEY
419,cough,Gusua,,,none,DUPLICATE_KEY
420,headache,Sko·saa,,,none,DUPLICATE_KEY
421,stomachache,Ok·saa,,,none,DUPLICATE_KEY
422,wound / injury,Mata,,,none,DUPLICATE_KEY
423,blood,An·chi,,,none,DUPLICATE_KEY
424,bone,Greng,,,none,DUPLICATE_KEY
425,healthy,An·senga,,,none,DUPLICATE_KEY
426,weak,Bilgri,,,none,DUPLICATE_KEY
427,strong,Bilaka,,,none,DUPLICATE_KEY
428,blind,Mikgri,,,none,DUPLICATE_KEY
429,deaf,Nachil·kala,,,none,DUPLICATE_KEY
430,mute,Ku·ma,,,none,DUPLICATE_KEY
431,poison,Bisi,,,none,DUPLICATE_KEY
432,swelling,Ripoma,,,none,DUPLICATE_KEY
433,itch,Ka·kita,,,none,DUPLICATE_KEY
