index,english,garo,category,notes,verification_tag,flags
2523,doze,chu·stim·a,uncategorized,UNVERIFIED/HIGH v:mik-gil jom˙-a / tu-stim-a,VERIFIED/HIGH,DUPLICATE_KEY
2524,doze,mik·gil jom˙·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2525,doze,tu·stim·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2538,drive away,rik·a,uncategorized,UNVERIFIED/HIGH v:rik-pak-a,VERIFIED/HIGH,DUPLICATE_KEY
2539,drive away,rik·pak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2540,drizzle,bal·mik·a,uncategorized,UNVERIFIED/HIGH v:se˙-em-se˙-em,VERIFIED/HIGH,DUPLICATE_KEY
2541,drizzle,se˙·em·se˙·em,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2544,drum,da·ma,uncategorized,UNVERIFIED/HIGH v:kram,VERIFIED/HIGH,DUPLICATE_KEY
2545,drum,kram,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2546,drunk,han cheng˙·a,uncategorized,UNVERIFIED/HIGH v:mik-mak-a,VERIFIED/HIGH,DUPLICATE_KEY
2547,drunk,mik·mak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2550,dull,cham˙·a,uncategorized,UNVERIFIED/HIGH v:chat-a,VERIFIED/HIGH,DUPLICATE_KEY
2551,dull,chat·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2555,dung,gu·bol,uncategorized,UNVERIFIED/HIGH v:ke˙-em-a / ma˙-su-ke˙-em-a,VERIFIED/HIGH,DUPLICATE_KEY
2556,dung,ke˙·em·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2557,dung,ma˙·su·ke˙·em·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2561,dust,dul·a,uncategorized,UNVERIFIED/HIGH v:ha˙-gin-dil-a,VERIFIED/HIGH,DUPLICATE_KEY
2562,dust,ha˙·gin·dil·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2564,dwell,dong·a,uncategorized,UNVERIFIED/HIGH v:dong-chak-a / dong-dam-a,VERIFIED/HIGH,DUPLICATE_KEY
2565,dwell,dong·chak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2566,dwell,dong·dam·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2571,earth,ha˙·,uncategorized,UNVERIFIED/HIGH v:ha˙-gil-sak / ha˙-mang,VERIFIED/HIGH,DUPLICATE_KEY
2572,earth,ha˙·gil·sak,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2573,earth,ha˙·mang,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2575,easy,al·tu·a,uncategorized,UNVERIFIED/HIGH v:nom˙-a,VERIFIED/HIGH,DUPLICATE_KEY
2576,easy,nom˙·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2578,eclipse,ja·min·ok·a,uncategorized,UNVERIFIED/HIGH v:sal min-ok-a,VERIFIED/HIGH,DUPLICATE_KEY
2579,eclipse,sal min·ok·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
