index,english,garo,category,notes,verification_tag,flags
4980,hoarse,seo·seo·e bol·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4981,hoarse,su·del·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4982,hold,ol·a,uncategorized,UNVERIFIED/HIGH v:rim·-a / sik-a / tom-a,VERIFIED/HIGH,DUPLICATE_KEY
4983,hold,rim·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4984,hold,sik·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4985,hold,tom·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4987,hole,ha·gop,uncategorized,UNVERIFIED/HIGH v:ha·-kil-ok / ha·-kol,VERIFIED/HIGH,DUPLICATE_KEY
4988,hole,ha·kil·ok,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4989,hole,ha·kol,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4992,homesick,ru·ang·ru·ang,uncategorized,UNVERIFIED/HIGH v:sim-bra-a,VERIFIED/HIGH,DUPLICATE_KEY
4993,homesick,sim·bra·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4995,hook,bor·si,uncategorized,UNVERIFIED/HIGH v:ket-a,VERIFIED/HIGH,DUPLICATE_KEY
4996,hook,ket·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5000,hot,ding·a,uncategorized,UNVERIFIED/HIGH v:gek-gek / jro-a,VERIFIED/HIGH,DUPLICATE_KEY
5001,hot,gek·gek,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5002,hot,jro·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5015,husband,ang·se,family,UNVERIFIED/HIGH v:bu-ra / se,VERIFIED/HIGH,DUPLICATE_KEY
5016,husband,bu·ra,family,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5017,husband,se,family,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5020,husks,bi·gra,uncategorized,UNVERIFIED/HIGH v:cha·-che,VERIFIED/HIGH,DUPLICATE_KEY
5021,husks,cha·che,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5027,important,bil·ong·a,uncategorized,UNVERIFIED/HIGH v:mong-song,VERIFIED/HIGH,DUPLICATE_KEY
5028,important,mong·song,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5030,improve,gri·a,uncategorized,UNVERIFIED/HIGH v:jom-a gri-a / nam-et-a,VERIFIED/HIGH,DUPLICATE_KEY
5031,improve,jom·a gri·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5032,improve,nam·et·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5038,inclined,gok·a,uncategorized,UNVERIFIED/HIGH v:gong·-a,VERIFIED/HIGH,DUPLICATE_KEY
5039,inclined,gong·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5042,inconsistent,rip·eng·dam·beng,uncategorized,UNVERIFIED/HIGH v:rong-ret-a / ru-ra-ga-ra,VERIFIED/HIGH,DUPLICATE_KEY
5043,inconsistent,rong·ret·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5044,inconsistent,ru·ra·ga·ra,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5045,increase,ba·ri·a,uncategorized,UNVERIFIED/HIGH v:bang·-rik-rik-a / bat-a / jal-a,VERIFIED/HIGH,DUPLICATE_KEY
5046,increase,bang·rik·rik·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5047,increase,bat·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
