key,group_size,index,english,garo,category,notes
"turn",3,6489,"turn","go·rai·a","uncategorized","variant/UNVERIFIED/HIGH"
"turn",3,6490,"turn","ham··pil·a","uncategorized","variant/UNVERIFIED/HIGH"
"turn over",4,6494,"turn over","king·kip·a","uncategorized","UNVERIFIED/HIGH v:pang-pil-ek-a / pang-pil-tai·-a / ul-tai-a"
"turn over",4,6495,"turn over","pang·pil·ek·a","uncategorized","variant/UNVERIFIED/HIGH"
"turn over",4,6496,"turn over","pang·pil·tai··a","uncategorized","variant/UNVERIFIED/HIGH"
"turn over",4,6497,"turn over","ul·tai·a","uncategorized","variant/UNVERIFIED/HIGH"
"twig",3,6500,"twig","bi·pek","uncategorized","UNVERIFIED/HIGH v:bol-chek-si / bol-dim"
"twig",3,6501,"twig","bol·chek·si","uncategorized","variant/UNVERIFIED/HIGH"
"twig",3,6502,"twig","bol·dim","uncategorized","variant/UNVERIFIED/HIGH"
"twin",2,6504,"twin","de·chap","uncategorized","UNVERIFIED/HIGH v:de-srong"
"twin",2,6505,"twin","de·srong","uncategorized","variant/UNVERIFIED/HIGH"
"uncombed",2,6518,"uncombed","bu··rin·eng bu··sin·eng","uncategorized","UNVERIFIED/HIGH v:stik-a"
"uncombed",2,6519,"uncombed","stik·a","uncategorized","variant/UNVERIFIED/HIGH"
"unexpectedly",3,6529,"unexpectedly","git·ik·git·ak","uncategorized","UNVERIFIED/HIGH v:-git-ik- / grip-grap"
"unexpectedly",3,6530,"unexpectedly","·git·ik·","uncategorized","variant/UNVERIFIED/HIGH"
"unexpectedly",3,6531,"unexpectedly","grip·grap","uncategorized","variant/UNVERIFIED/HIGH"
"unhappy",2,6533,"unhappy","gi·sik jom·a","uncategorized","UNVERIFIED/HIGH v:gi-sik sa-a"
"unhappy",2,6534,"unhappy","gi·sik sa·a","uncategorized","variant/UNVERIFIED/HIGH"
"upset",3,6549,"upset","gi·sik jom·a","uncategorized","UNVERIFIED/HIGH v:pang-pil-ek-chu-pil-ek / ul-tai-a"
"upset",3,6550,"upset","pang·pil·ek·chu·pil·ek","uncategorized","variant/UNVERIFIED/HIGH"
"upset",3,6551,"upset","ul·tai·a","uncategorized","variant/UNVERIFIED/HIGH"
"upside down",2,6552,"upside down","di·pang·pil·ek·a","uncategorized","UNVERIFIED/HIGH v:pang-pil-a"
"upside down",2,6553,"upside down","pang·pil·a","uncategorized","variant/UNVERIFIED/HIGH"
"upward",2,6554,"upward","do·a","uncategorized","UNVERIFIED/HIGH v:-do-"
"upward",2,6555,"upward","·do·","uncategorized","variant/UNVERIFIED/HIGH"
"urge",2,6556,"urge","bu·jai·a","uncategorized","UNVERIFIED/HIGH v:mong·-a"
"urge",2,6557,"urge","mong··a","uncategorized","variant/UNVERIFIED/HIGH"
"variety",2,6562,"variety","jat","uncategorized","UNVERIFIED/HIGH v:ro-kom"
"variety",2,6563,"variety","ro·kom","uncategorized","variant/UNVERIFIED/HIGH"
"vein of leaf",2,6567,"vein of leaf","ga··gong","phrases","UNVERIFIED/HIGH v:gu-a-si"
"vein of leaf",2,6568,"vein of leaf","gu·a·si","phrases","variant/UNVERIFIED/HIGH"
"veranda",2,6570,"veranda","ba·ran·da","uncategorized","UNVERIFIED/HIGH v:bal-im"
"veranda",2,6571,"veranda","bal·im","uncategorized","variant/UNVERIFIED/HIGH"
"vines",2,6576,"vines","bi·dil","uncategorized","UNVERIFIED/HIGH v:bi-du"
"vines",2,6577,"vines","bi·du","uncategorized","variant/UNVERIFIED/HIGH"
"vomit",3,6579,"vomit","chi·gal·a","health","UNVERIFIED/HIGH v:el·-bu-a / wak-gal-a"
"vomit",3,6580,"vomit","el··bu·a","health","variant/UNVERIFIED/HIGH"
"vomit",3,6581,"vomit","wak·gal·a","health","variant/UNVERIFIED/HIGH"
"wag",2,6583,"wag","dok·ro·rek·a","uncategorized","UNVERIFIED/HIGH v:rek-rek-a"
"wag",2,6584,"wag","rek·rek·a","uncategorized","variant/UNVERIFIED/HIGH"
"wages",2,6585,"wages","bet·ton","uncategorized","UNVERIFIED/HIGH v:ko-ros"
"wages",2,6586,"wages","ko·ros","uncategorized","variant/UNVERIFIED/HIGH"
