index,english,garo,category,notes,tagged_verified_high
4876,"gossip","ku··rit·chu·a","uncategorized","UNVERIFIED/HIGH",yes
4879,"grab","rim··a","uncategorized","UNVERIFIED/HIGH v:sik-a",yes
4897,"groan","ma··am·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4899,"ground","ha··","uncategorized","UNVERIFIED/HIGH",yes
4905,"grub","jong··men","uncategorized","variant/UNVERIFIED/HIGH",yes
4927,"handle","ga··pong","uncategorized","variant/UNVERIFIED/HIGH",yes
4928,"handle","rim··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4929,"handle","rim··chak·ra","uncategorized","variant/UNVERIFIED/HIGH",yes
4938,"happy","han··seng·a","uncategorized","UNVERIFIED/HIGH",yes
4940,"hatch","pe··a","uncategorized","UNVERIFIED/HIGH",yes
4944,"head ache","sko sa··dik·a","health","UNVERIFIED/HIGH",yes
4945,"headhunting sword","mil··am","uncategorized","UNVERIFIED/HIGH",yes
4951,"heavily","je··et·je··et dak·ing·a","uncategorized","UNVERIFIED/HIGH",yes
4953,"heavy","je··et·je··et","uncategorized","variant/UNVERIFIED/HIGH",yes
4954,"heel","ja··pa·ku··chok","uncategorized","UNVERIFIED/HIGH",yes
4961,"hiccup","ti··ik·a","uncategorized","UNVERIFIED/HIGH",yes
4967,"high land","ha··sak·a","uncategorized","UNVERIFIED/HIGH",yes
4969,"hill","ha··bri","travel","UNVERIFIED/HIGH v:ha·-chik / ha·-sak-a",yes
4970,"hill","ha··chik","travel","variant/UNVERIFIED/HIGH",yes
4971,"hill","ha··sak·a","travel","variant/UNVERIFIED/HIGH",yes
4972,"hill tract","ha··sak·a","travel","UNVERIFIED/HIGH",yes
4973,"hills","ha··rong·ga","uncategorized","UNVERIFIED/HIGH",yes
4975,"hinder","peng··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4980,"hoarse","seo··seo·e bol·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4983,"hold","rim··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4987,"hole","ha··gop","uncategorized","UNVERIFIED/HIGH v:ha·-kil-ok / ha·-kol",yes
4988,"hole","ha··kil·ok","uncategorized","variant/UNVERIFIED/HIGH",yes
4989,"hole","ha··kol","uncategorized","variant/UNVERIFIED/HIGH",yes
5000,"hot","ding··a","uncategorized","UNVERIFIED/HIGH v:gek-gek / jro-a",yes
5003,"hot season","ding··ka·ri","uncategorized","UNVERIFIED/HIGH",yes
5014,"hurt","sa··dik·a","uncategorized","UNVERIFIED/HIGH",yes
5021,"husks","cha··che","uncategorized","variant/UNVERIFIED/HIGH",yes
5023,"ignite","so··a","uncategorized","UNVERIFIED/HIGH",yes
5024,"immediately","teng··kap teng··kap","uncategorized","UNVERIFIED/HIGH",yes
5025,"immerse","sim··a","uncategorized","UNVERIFIED/HIGH",yes
5033,"improve in health","sel··a","phrases","UNVERIFIED/HIGH",yes
5035,"incest","ma··dong","uncategorized","UNVERIFIED/HIGH",yes
5036,"inchworm","jong··kang·ku","uncategorized","UNVERIFIED/HIGH",yes
5039,"inclined","gong··a","uncategorized","variant/UNVERIFIED/HIGH",yes
5040,"including","ra··e","uncategorized","UNVERIFIED/HIGH",yes
5041,"incomplete","tong··kan·di","uncategorized","UNVERIFIED/HIGH",yes
5046,"increase","bang··rik·rik·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5050,"individual's land","ha··tot","uncategorized","UNVERIFIED/HIGH",yes
5055,"inform","a·gan·e ron··a","uncategorized","variant/UNVERIFIED/HIGH",yes
5058,"inherit","man··rik·a","uncategorized","UNVERIFIED/HIGH",yes
5059,"inject","su··a","uncategorized","UNVERIFIED/HIGH",yes
5061,"injure","ja··sru·a","uncategorized","UNVERIFIED/HIGH",yes
5062,"inquire","sing··e ni·a","uncategorized","UNVERIFIED/HIGH",yes
5064,"insect","jong··","animals","UNVERIFIED/HIGH",yes
5071,"insufficient","bon··dik·a","uncategorized","UNVERIFIED/HIGH",yes
5080,"interest, monetary","pi··sa","uncategorized","UNVERIFIED/HIGH",yes
5082,"interrupted","rim··dang·a","uncategorized","UNVERIFIED/HIGH",yes
5091,"jackal","si··ol","uncategorized","variant/UNVERIFIED/HIGH",yes
5098,"joke","bo··bru·a","uncategorized","UNVERIFIED/HIGH v:bu·-rok-a / re-jil-a / rong-kal-a",yes
5099,"joke","bu··rok·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5102,"joyful","han··seng·a","uncategorized","UNVERIFIED/HIGH",yes
5108,"keep","ra··rik·a","uncategorized","UNVERIFIED/HIGH v:rak-ki-a",yes
5110,"kick","ga··ting·dat·a","uncategorized","UNVERIFIED/HIGH",yes
5111,"kidney","tin··sok","health","UNVERIFIED/HIGH",yes
5114,"kill","so··ot·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5121,"kiss","ku··chot·a","uncategorized","UNVERIFIED/HIGH v:ku·-dim-a",yes
5122,"kiss","ku··dim·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5125,"knee","ja··sku","uncategorized","UNVERIFIED/HIGH",yes
5127,"kneel","ja··sku·ting·a","uncategorized","UNVERIFIED/HIGH v:ting-a",yes
5145,"land","ha··","uncategorized","UNVERIFIED/HIGH v:ha·-ga",yes
5146,"land","ha··ga","uncategorized","variant/UNVERIFIED/HIGH",yes
5150,"land, of village","ha··kin·te","travel","UNVERIFIED/HIGH",yes
5154,"large","dal··a","uncategorized","UNVERIFIED/HIGH v:-ma",yes
5156,"larva","jong··men","uncategorized","UNVERIFIED/HIGH",yes
5158,"latrine","ki··dik","uncategorized","UNVERIFIED/HIGH v:pai-ka-na",yes
5160,"lay eggs","chi··a","uncategorized","UNVERIFIED/HIGH",yes
5166,"leak","ga··ak·ro·rot·a","uncategorized","UNVERIFIED/HIGH v:gip-u-a / ru-rot-a / sel-a",yes
5188,"let go","rim··sik·ok·a","uncategorized","UNVERIFIED/HIGH v:tap-skot-a",yes
